SubjectName 014,SessionNumber 1,ExperimentName sternbergComp,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NSPrac-OnsetError,NSPrac-OnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-Mouse-IsCorrect,ProbePrac-Mouse-Responses,ProbePrac-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
151,0.01,1383153.69,0.15,1388187.04,1,Yes,1032.39,4,Yes,3 5 2 6 ,3
152,0.01,1389720.37,0.25,1394753.71,1,No,2697.78,2,No,6 5 ,8
153,0.01,1397953.72,0.15,1402987.06,1,No,1720.49,8,No,5 7 8 1 3 4 2 6 ,9
154,0.02,1405220.4,0.16,1410253.74,1,No,813.86,8,No,7 5 9 3 4 6 8 1 ,2
155,0.01,1411570.41,0.16,1416603.76,1,Yes,1863.88,2,Yes,2 5 ,5
156,0.01,1418970.43,0.16,1424003.77,1,No,1343.91,2,No,5 7 ,2
157,0.01,1425853.77,0.16,1430887.11,1,No,2052.62,6,No,9 1 3 4 7 2 ,5
158,0.01,1433453.79,0.16,1438487.13,1,Yes,1692.63,8,Yes,4 8 5 1 6 9 7 2 ,6
159,0.03,1440687.14,0.24,1445720.48,1,Yes,1323.34,4,Yes,2 4 6 5 ,5
160,0.01,1447553.82,0.16,1452587.16,1,No,1464.68,4,No,4 9 3 7 ,6
161,0.01,1454553.83,0.16,1459587.17,1,Yes,1536.73,6,Yes,4 7 2 6 3 8 ,6
162,0.01,1461637.18,0.16,1466670.52,1,Yes,983.36,4,Yes,9 6 1 2 ,9
163,0.01,1468170.52,0.16,1473203.87,0,No,3728.11,8,Yes,9 1 4 3 5 2 8 7 ,8
164,0.01,1477437.21,0.17,1482470.55,1,No,1013.5,6,No,7 6 8 2 9 5 ,3
165,0.01,1483987.22,0.16,1489020.56,1,No,927.52,4,No,1 2 8 7 ,6
166,0.01,1490453.9,0.16,1495487.24,1,No,956.86,2,No,5 9 ,3
167,0.01,1496953.91,0.15,1501987.26,1,No,2096.93,8,No,6 8 7 5 4 2 1 3 ,9
168,0.01,1504587.26,0.16,1509620.6,1,Yes,2631.59,4,Yes,3 9 4 7 ,4
169,0.03,1512753.94,0.15,1517787.28,1,No,1352.95,4,No,2 6 8 5 ,1
170,0.01,1519653.95,0.16,1524687.3,0,No,1437.02,6,Yes,9 7 1 8 5 4 ,1
171,0.03,1526637.3,0.15,1531670.64,1,No,1181.68,4,No,1 2 9 6 ,5
172,0.01,1533353.98,0.16,1538387.32,1,Yes,1513.06,4,Yes,4 3 2 5 ,4
173,0.01,1540403.99,0.15,1545437.34,1,No,1712.52,4,No,1 7 2 5 ,4
174,0.02,1547654.01,0.23,1552687.35,1,Yes,1861.12,4,Yes,3 8 7 1 ,1
175,0.01,1555054.02,0.15,1560087.36,1,No,1325.14,4,No,1 7 9 6 ,3
176,0.01,1561920.7,0.16,1566954.04,1,No,714.51,6,No,7 8 3 9 5 1 ,4
177,0.01,1568170.71,0.15,1573204.06,1,Yes,4736.53,4,Yes,1 3 8 6 ,1
178,0.03,1578454.07,0.15,1583487.41,1,No,1573.25,2,No,9 5 ,4
179,0.01,1585570.75,0.15,1590604.09,1,No,1376.6,4,No,2 3 8 6 ,9
180,0.01,1592487.43,0.15,1597520.77,1,Yes,2259.97,6,Yes,8 6 1 4 7 2 ,2
181,0.01,1600287.44,0.15,1605320.82,1,No,1811.95,2,No,5 7 ,8
182,0.01,1607637.45,0.16,1612670.8,1,Yes,1238.05,2,Yes,8 2 ,8
183,0.01,1614420.8,0.15,1619454.15,1,No,2494.72,2,No,1 2 ,8
184,0.01,1622454.15,0.23,1627487.49,1,Yes,1885.43,8,Yes,8 2 4 1 3 6 7 9 ,3
185,0.01,1629887.5,0.15,1634920.84,1,No,1724.13,8,No,6 3 4 2 8 5 1 9 ,7
186,0.01,1637154.18,0.17,1642187.52,1,No,1121.47,2,No,8 5 ,3
187,0.04,1643820.86,0.15,1648854.2,1,Yes,1694.85,8,Yes,8 7 1 3 4 9 5 6 ,5
188,0.01,1651054.2,0.23,1656087.55,1,No,1685.55,4,No,5 3 4 6 ,8
189,0.02,1658287.55,0.15,1663320.9,1,Yes,2388.24,8,Yes,2 5 9 8 1 7 6 4 ,8
190,0.04,1666220.9,0.16,1671254.24,1,Yes,1222.95,4,Yes,9 7 5 6 ,6
191,0.01,1672987.58,0.15,1678020.92,1,No,1480.33,6,No,4 5 6 9 3 2 ,8
192,0.03,1680004.26,0.15,1685037.61,1,Yes,1639.68,4,Yes,1 9 2 3 ,2
193,0.03,1687187.61,0.15,1692220.95,1,Yes,752.37,6,Yes,9 1 8 4 7 5 ,4
194,0.01,1693487.62,0.23,1698520.96,1,Yes,924.39,4,Yes,9 5 7 2 ,7
195,0.01,1699954.3,0.15,1704987.64,1,Yes,881.75,8,Yes,8 9 5 2 1 4 7 6 ,6
196,0.02,1706370.98,0.16,1711404.32,1,No,2289.11,2,No,2 7 ,8
197,0.02,1714204.33,0.15,1719237.67,1,No,1231.8,6,No,4 1 8 6 9 3 ,7
198,0.01,1720971.01,0.15,1726004.35,1,No,1785.16,4,No,7 8 2 3 ,6
199,0.02,1728304.35,0.23,1733337.7,1,No,1339.86,4,No,5 8 9 7 ,4
200,0.01,1735187.7,0.16,1740221.04,1,Yes,1456.54,6,Yes,9 5 6 8 1 2 ,2
