SubjectName Mt,SessionNumber 2,ExperimentName sternbergComp,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NSPrac-OnsetError,NSPrac-OnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-Mouse-IsCorrect,ProbePrac-Mouse-Responses,ProbePrac-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
110,0.02,1019729.52,0.16,1024762.86,1,No,1412.24,2,No,1 9 ,4
111,0.01,1026679.53,0.17,1031712.88,1,No,1294.23,2,No,5 7 ,2
112,0.01,1033512.88,0.17,1038546.22,1,No,764.87,2,No,3 1 ,9
113,0.02,1039812.89,0.16,1044846.24,1,Yes,1200.93,8,Yes,3 7 6 2 5 8 4 1 ,6
114,0.01,1046562.91,0.16,1051596.25,0,Yes,1850.98,6,No,3 7 6 8 9 4 ,2
115,0.01,1053962.92,0.16,1058996.26,1,Yes,1042.99,2,Yes,3 6 ,3
116,0.02,1060546.27,0.16,1065579.61,0,Yes,1075.69,8,No,9 6 5 8 7 4 2 3 ,1
117,0.01,1067162.94,0.16,1072196.29,0,Yes,2747.05,8,No,7 3 2 8 5 4 1 9 ,6
118,0.01,1075446.29,0.17,1080479.64,1,No,1255.75,8,No,8 7 4 1 9 5 3 2 ,6
119,0.02,1082246.31,0.16,1087279.65,1,Yes,823.78,2,Yes,2 3 ,3
120,0.02,1088612.99,0.17,1093646.33,1,No,1041.17,8,No,5 7 8 1 3 4 2 6 ,9
121,0.01,1095196.33,0.16,1100229.67,1,No,1001.82,8,No,4 9 6 3 5 7 2 1 ,8
122,0.02,1101746.35,0.17,1106779.69,1,No,851.87,4,No,1 7 4 2 ,8
123,0.01,1108146.35,0.16,1113179.7,1,Yes,1068.18,2,Yes,1 3 ,1
124,0.01,1114763.04,0.17,1119796.38,1,Yes,1067.25,2,Yes,9 1 ,1
125,0.02,1121379.71,0.16,1126413.06,1,No,2690.63,6,No,4 9 6 8 3 1 ,5
126,0.01,1129613.06,0.17,1134646.41,0,No,2193.33,8,Yes,2 7 8 1 4 5 6 9 ,2
127,0.02,1137346.41,0.16,1142379.76,1,Yes,1659.98,2,Yes,7 5 ,5
128,0.01,1144546.43,0.16,1149579.77,0,Yes,852.05,4,No,1 2 8 7 ,6
129,0.01,1150946.44,0.16,1155979.78,1,No,1236.07,2,No,2 3 ,1
130,0.01,1157729.79,0.16,1162763.13,1,No,572.8,2,No,2 8 ,5
131,0.02,1163846.47,0.15,1168879.89,1,No,1032.06,2,No,9 5 ,4
132,0.02,1170413.14,0.17,1175446.49,1,Yes,697.48,6,Yes,7 2 3 8 9 1 ,3
133,0.02,1176646.49,0.16,1181679.83,1,No,1456.13,6,No,8 1 7 5 3 9 ,2
134,0.01,1183646.5,0.17,1188679.84,1,No,1312.2,8,No,2 8 3 7 9 4 5 6 ,1
135,0.02,1190496.51,0.24,1195529.86,1,Yes,1910.24,8,Yes,2 5 9 8 1 7 6 4 ,8
136,0.01,1197946.53,0.16,1202979.87,1,No,1173.26,6,No,4 5 3 6 2 8 ,9
137,0.01,1204663.21,0.16,1209696.55,1,Yes,1263.64,8,Yes,8 7 1 3 4 9 5 6 ,5
138,0.01,1211463.22,0.24,1216496.57,0,No,1335.66,8,Yes,6 3 9 1 2 4 7 8 ,1
139,0.02,1218346.57,0.16,1223379.91,1,Yes,844.35,6,Yes,7 4 5 3 6 8 ,6
140,0.02,1224729.92,0.17,1229763.26,1,No,1037.03,2,No,5 7 ,8
141,0.02,1231313.26,0.16,1236346.6,1,Yes,1133.75,4,Yes,9 5 7 2 ,7
142,0.01,1237996.61,0.16,1243029.95,1,Yes,1178.43,8,Yes,9 1 4 3 5 2 8 7 ,8
143,0.01,1244713.28,0.15,1249746.63,1,No,1061.76,6,No,2 1 7 3 6 9 ,4
144,0.02,1251313.3,0.17,1256346.64,1,Yes,1189.86,4,Yes,6 3 9 4 ,4
145,0.01,1258046.65,0.15,1263079.99,1,Yes,2064.49,4,Yes,4 3 9 2 ,4
146,0.01,1265646.66,0.17,1270680,1,Yes,704.54,8,Yes,6 3 4 9 7 5 1 8 ,5
147,0.02,1271896.67,0.16,1276930.01,1,Yes,822.57,4,Yes,8 2 1 9 ,2
148,0.01,1278263.35,0.16,1283296.69,1,Yes,1207.91,6,Yes,1 6 9 8 5 2 ,8
149,0.01,1285013.36,0.26,1290046.7,1,Yes,641.98,6,Yes,9 3 2 1 8 5 ,9
150,0.02,1291196.71,0.17,1296230.05,1,Yes,682.64,8,Yes,8 4 7 6 5 9 1 3 ,4
151,0.01,1297413.38,0.15,1302446.73,1,No,922.01,6,No,3 1 7 2 6 9 ,5
152,0.01,1303880.07,0.16,1308913.41,1,Yes,903.39,8,Yes,5 2 8 7 3 4 9 1 ,2
153,0.01,1310330.08,0.15,1315363.42,1,No,957.39,8,No,5 2 6 9 1 7 8 3 ,4
154,0.01,1316830.09,0.16,1321863.43,1,Yes,809.46,2,Yes,4 1 ,1
155,0.01,1323180.1,0.15,1328213.45,1,No,1339.48,4,No,2 3 8 6 ,9
156,0.01,1330063.45,0.17,1335096.79,1,No,1424.16,4,No,1 7 2 5 ,3
157,0.01,1337030.13,0.15,1342063.47,1,No,961.51,6,No,7 8 3 9 5 1 ,4
158,0.02,1343530.14,0.16,1348563.48,1,No,1053.54,6,No,2 7 4 1 8 5 ,9
159,0.01,1350130.15,0.16,1355163.5,1,Yes,901.56,6,Yes,5 9 1 7 8 4 ,4
